xd,yd,zd,x,y,z,phi,the,psi
0,0,0,-0.000181903,-0.00123851,0.19129,-7.34E-06,-2.15E-08,-0.000361133
0,0,0,-0.000182401,-0.00124534,0.191292,-2.68E-06,8.18E-07,-0.000366428
0,0,0,-0.00018267,-0.00125333,0.191289,2.11E-05,-1.29E-08,-0.000372424
0,0,0,-0.000182914,-0.00125837,0.19129,-7.34E-06,-2.15E-08,-0.000377892
0,0,0,-0.000183412,-0.0012652,0.191292,-2.68E-06,8.18E-07,-0.000383183
0,0,0,-0.000183681,-0.00127319,0.191289,2.11E-05,-1.29E-08,-0.000389175
0,0,0,-0.000183925,-0.00127823,0.19129,-7.34E-06,-2.15E-08,-0.000394639
0,0,0,-0.000184423,-0.00128507,0.191292,-2.68E-06,8.18E-07,-0.000399925
0,0,0,-0.000184692,-0.00129305,0.191289,2.11E-05,-1.29E-08,-0.000405913
0,0,0,-0.000184935,-0.00129809,0.19129,-7.34E-06,-2.15E-08,-0.000411373
0,0,0,-0.000185433,-0.00130493,0.191292,-2.68E-06,8.18E-07,-0.000416656
0,0,0,-0.000185702,-0.00131291,0.191289,2.11E-05,-1.29E-08,-0.00042264
0,0,0,-0.000185945,-0.00131795,0.19129,-7.34E-06,-2.15E-08,-0.000428096
0,0,0,-0.000186409,-0.00132681,0.191289,2.11E-05,-1.29E-08,-0.000434341
0,0,0,-0.000186712,-0.00133277,0.191289,2.11E-05,-1.29E-08,-0.000439354
0,0,0,-0.000186955,-0.00133782,0.19129,-7.34E-06,-2.15E-08,-0.000444806
0,0,0,-0.000187453,-0.00134465,0.191292,-2.68E-06,8.18E-07,-0.000450081
0,0,0,-0.000187721,-0.00135263,0.191289,2.11E-05,-1.29E-08,-0.000456057
0,0,0,-0.000187964,-0.00135768,0.19129,-7.34E-06,-2.15E-08,-0.000461504
0,0,0,-0.000188462,-0.00136451,0.191292,-2.68E-06,8.18E-07,-0.000466775
0,0,0,-0.00018873,-0.0013725,0.191289,2.11E-05,-1.29E-08,-0.000472747
0,0,0,-0.000188973,-0.00137754,0.19129,-7.34E-06,-2.15E-08,-0.000478191
